A,B,C,D,E,F,G,H,I,J,K,L
-0.0013516932,-1.1793083,-0.6557409,-0.21254519,1.2643541,-0.13877645,8.654602,0.18093362,0.2926408,0.024195196,0.007966165,-0.13780935
-0.0062838765,-1.2279398,-0.68468094,-0.235658,1.2746531,-0.15118472,8.846246,0.1716423,0.31077442,0.024584569,0.008450534,-0.15100104
-0.0066433414,-1.2619233,-0.70733833,-0.25913152,1.2893914,-0.16186771,8.996722,0.19896908,0.29193106,0.024993906,0.008989911,-0.16226526
-0.0069269626,-1.3201177,-0.73379654,-0.2781533,1.2859607,-0.17470655,9.147347,0.17944674,0.3621269,0.025477437,0.009455069,-0.17741913
-0.0075853853,-1.3623419,-0.76239395,-0.3098638,1.3092347,-0.18384622,9.308463,0.18807237,0.41582432,0.025855789,0.010077232,-0.18671776
-0.0035065128,-1.4206048,-0.777391,-0.32135853,1.296297,-0.20670615,9.45437,0.17669477,0.4111796,0.026305832,0.010586481,-0.19527626
-0.025284432,-1.4471173,-0.7984335,-0.33577502,1.2952071,-0.22247674,9.591866,0.19711119,0.6266395,0.02683626,0.0111416625,-0.20860444
-0.031618956,-1.481666,-0.82215405,-0.36334628,1.3293136,-0.23908314,9.717086,0.20074049,0.5210123,0.027216783,0.011681362,-0.22332515
-0.024772475,-1.5278091,-0.8495476,-0.38924804,1.3196253,-0.24585979,9.833522,0.19450341,0.61688536,0.027673107,0.01225126,-0.23862967
-0.026651751,-1.5729012,-0.8756975,-0.4124896,1.3187798,-0.26247436,9.943722,0.2010577,0.67797565,0.028072111,0.012800187,-0.25169465
-0.022534596,-1.625694,-0.89606416,-0.43959564,1.332282,-0.2774618,10.046628,0.2024387,0.69177413,0.028639164,0.013423537,-0.26658028
-0.020778673,-1.6462357,-0.9211702,-0.4667631,1.3137772,-0.29364967,10.158627,0.21700019,0.7190554,0.02905892,0.014094524,-0.2795504
-0.01983385,-1.7115461,-0.9452864,-0.49442932,1.2994486,-0.31050187,10.239164,0.2243483,0.11548245,0.02962845,0.014786796,-0.29483864
-0.018357376,-1.7505589,-0.96274585,-0.5140409,1.2634699,-0.32269984,10.294069,0.21977124,0.41693157,0.030083552,0.015441597,-0.3075538
-0.017243432,-1.7719458,-0.9739207,-0.54036987,1.2855811,-0.3363306,10.3516655,0.22546352,0.6723348,0.030644156,0.016088506,-0.32202935
-0.016057873,-1.7955704,-1.001498,-0.5645639,1.2449169,-0.3599115,10.399853,0.22389483,0.58375806,0.031230958,0.01677417,-0.33461988
-0.01539466,-1.8369889,-1.0114076,-0.58439237,1.2449247,-0.3739023,10.455346,0.22189474,0.47428384,0.03175657,0.017513514,-0.35017896
-0.014889883,-1.8654554,-1.040975,-0.6206594,1.2223203,-0.38713002,10.516511,0.2192302,0.5730567,0.032258116,0.018239247,-0.36287457
-0.0140964035,-1.9060909,-1.0598515,-0.638727,1.1910424,-0.40197754,10.564549,0.21180913,0.74708444,0.032859884,0.018991744,-0.37834722
-0.013464013,-1.9501594,-1.0799851,-0.6696438,1.204599,-0.4127041,10.598574,0.23641405,0.66660935,0.033408113,0.019743085,-0.38943145
-0.011821846,-1.9811673,-1.0976813,-0.6827023,1.1672294,-0.42438924,10.625124,0.21539845,0.67004246,0.03405497,0.020518964,-0.40181133
-0.016465947,-2.0158544,-1.1114609,-0.7135668,1.1838698,-0.43393943,10.627966,0.20598368,0.73695546,0.034680378,0.021258803,-0.41472474
-0.013311179,-2.032324,-1.129856,-0.73311496,1.1334635,-0.4468817,10.649409,0.2003053,0.70059043,0.035226926,0.022036184,-0.42664725
-0.0065392493,-2.0655594,-1.1443561,-0.7471517,1.1282125,-0.4657727,10.666427,0.19566339,0.73766345,0.035940457,0.022834532,-0.43635666
-0.00795229,-2.0818875,-1.1533103,-0.7718945,1.1378522,-0.4802566,10.641553,0.18672861,0.723902,0.036473785,0.023660412,-0.44361869
-0.0067655235,-2.0980978,-1.1655152,-0.78015745,1.0823704,-0.49520218,10.654978,0.1921754,0.7136677,0.03703083,0.024490317,-0.45484704
-0.027941886,-2.1326015,-1.177432,-0.80501187,1.0934695,-0.5139598,10.662385,0.19084033,0.7745112,0.037742343,0.025285166,-0.46154317
-0.016177015,-2.153963,-1.1853901,-0.81737787,1.0461743,-0.5266703,10.708428,0.2107997,1.0673388,0.03834342,0.026128978,-0.472967
-0.015655236,-2.169265,-1.1963943,-0.8358259,1.050974,-0.53804636,10.701798,0.21326901,1.2532145,0.039017413,0.026935643,-0.48307398
-0.012293005,-2.1827047,-1.2076974,-0.8549353,1.022452,-0.54696757,10.695284,0.18941219,0.43507603,0.039687365,0.02786533,-0.49536303
-0.010494942,-2.1977792,-1.222278,-0.8729805,0.99563557,-0.5687712,10.67703,0.18690714,0.6443893,0.040309228,0.028759325,-0.5066637
-0.008090423,-2.2269437,-1.2324979,-0.89402616,0.9815456,-0.5822012,10.659852,0.19591047,0.75235456,0.04100494,0.029609086,-0.51609236
-0.0052951216,-2.2564337,-1.24338,-0.91220903,0.9372106,-0.5932143,10.642058,0.19620381,0.70647705,0.041734815,0.030538192,-0.5243826
-0.00406252,-2.253621,-1.2422965,-0.9334658,0.93675447,-0.60244995,10.631037,0.19993308,0.73205644,0.042394783,0.03145512,-0.5369551
-0.002729827,-2.2585776,-1.2676579,-0.9502108,0.85892785,-0.6204648,10.618258,0.17695393,0.38863653,0.043124687,0.032478355,-0.54439986
-0.0011405735,-2.3076138,-1.2728579,-0.9618275,0.8773817,-0.63454115,10.59045,0.17634413,0.13277736,0.04388494,0.033372827,-0.55062836
0.005970849,-2.3179817,-1.2751608,-0.97619694,0.87765235,-0.6456393,10.556475,0.16860981,0.488792,0.04451459,0.034298256,-0.5585157
0.004363364,-2.3001523,-1.2826804,-0.9883128,0.8188711,-0.6545471,10.520333,0.16926496,0.5929891,0.04528981,0.03521148,-0.56705296
0.022194883,-2.3230932,-1.2914735,-1.0056736,0.82458425,-0.6464444,10.488732,0.1587768,0.48830122,0.04595669,0.03613435,-0.5737598
0.029053112,-2.335456,-1.2974509,-1.0165004,0.7990172,-0.65729505,10.448337,0.15570801,0.2787385,0.046618517,0.037133664,-0.58192337
0.021338714,-2.349646,-1.3044086,-1.0306711,0.7998869,-0.66991323,10.407439,0.15039122,0.040870577,0.04739001,0.038136818,-0.5880379
0.019022068,-2.3760736,-1.3108748,-1.0415636,0.7555614,-0.68185586,10.379738,0.14734414,0.1517352,0.04809541,0.03912342,-0.59290946
0.018216355,-2.3802202,-1.3110636,-1.0498202,0.7459803,-0.69195753,10.325737,0.16041042,0.5402242,0.048854936,0.04005522,-0.5988331
0.017757272,-2.3726053,-1.313355,-1.0629584,0.72494465,-0.6967772,10.275738,0.15694474,0.48023695,0.04958773,0.041008703,-0.60632133
0.01777759,-2.3863997,-1.3199145,-1.0786579,0.6979545,-0.7035667,10.213405,0.14935504,0.65450746,0.05032231,0.04197985,-0.6120059
0.017250491,-2.389841,-1.323568,-1.0834653,0.6734392,-0.69340247,10.160454,0.13880578,0.69478494,0.051101834,0.04302999,-0.61680365
0.01753231,-2.390106,-1.3275698,-1.1006324,0.65438926,-0.70510936,10.078771,0.13670808,0.68277204,0.051860183,0.04402902,-0.6246189
0.017785756,-2.4022238,-1.3287433,-1.1107548,0.6136507,-0.71884423,10.0433445,0.13909936,0.9479712,0.052584134,0.04503419,-0.6313391
