A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK
-16.971317,3.026657,27.063362,-11.706154,-14.581482,-20.240467,-15.16214,-10.645256,-23.113327,-23.628044,-15.708069,-12.5637665,-48.843422,-12.475128,-26.822573,-0.6027298,-24.111961,-13.003914,-3.4258804,-26.266525,23.31939,-14.608093,-18.15329,-13.38118,1.3471413,20.254059,-21.921104,-17.995403,-6.757988,5.916363,18.700996,-10.327736,27.031693,13.352112,16.800995,11.806065
-18.932953,-4.211426,23.136448,-17.248753,-7.2898407,-22.045708,-31.330612,-17.592377,-32.165314,-20.13692,-4.735565,-21.289238,-29.235664,-3.6847153,-15.004189,-11.211697,-14.129578,-9.678837,9.453308,-23.065533,14.103809,-23.213486,-41.2779,-50.0,5.751915,31.203857,-5.977333,-17.904396,11.834251,22.159264,25.489262,-13.181252,-12.961426,-21.33062,29.156315,16.769281
-46.059002,-18.600857,18.453827,-12.682915,-2.5434036,-16.614456,19.312538,-14.046318,-16.664337,-23.155632,-17.30471,-34.19732,-42.24141,-8.889397,-49.31192,-13.366531,-9.025192,-24.968834,15.889442,-24.681282,23.527077,-7.138977,-35.165474,-5.6103897,3.9779053,11.894348,-6.6302567,-17.925953,9.600769,15.751011,28.887302,-10.012543,38.101875,14.7488785,1.1305008,14.279606
-27.215199,-2.441288,19.68259,-0.6317749,11.823456,-13.57795,-8.367256,-35.99585,-36.48944,-6.004486,16.964027,1.1298752,-14.752953,-14.36145,-37.70089,-9.121994,-50.0,-14.887154,-4.099922,-19.997536,11.053955,-36.454903,-34.06617,-11.25087,10.360889,10.7421,5.3104286,-28.070072,20.044342,17.20348,30.273735,-5.821594,-19.045826,8.80167,34.930576,33.79242
-40.147602,-13.982208,23.940308,-6.6077385,0.6279831,-20.81282,-22.619991,-35.665733,-5.8638306,-20.156208,-14.173882,-3.2307968,-26.419163,2.2156258,-15.791611,-6.4440536,-20.105469,15.799187,12.906998,-27.733147,5.3537445,6.453865,-27.988853,3.5904617,2.9952278,5.1264877,10.820728,-25.506947,3.8761444,16.57764,31.29385,-3.2565765,-11.541584,4.3584595,-14.807579,34.156715
-4.3921013,24.30537,19.502636,9.258392,8.394123,0.6263046,5.0471573,-12.767536,-2.0883331,-12.804268,4.282364,-23.957077,-12.002899,1.4982071,-9.429653,-8.291168,-22.40741,13.284451,19.68908,-15.416153,0.90101624,2.5249634,-27.935547,-0.93479156,0.7176132,-5.858036,16.792816,-15.942661,27.930069,-33.55935,21.596737,-4.201824,-11.479973,6.007862,28.84401,33.543438
23.058132,25.01598,26.261784,44.846283,0.76018906,-25.35234,-16.11428,-15.817604,-17.241695,8.710571,-4.690608,-2.280384,0.66197205,-9.509041,10.77993,-3.3880005,-3.679779,0.17214203,18.572582,15.191704,0.6492233,-15.094124,-14.755814,-50.0,0.9280052,-5.8550606,20.019169,-7.5835457,13.89558,-36.391064,13.156208,-5.0559883,18.964924,30.161667,24.6222,37.367016
11.045929,4.4873238,22.392735,48.96894,-2.8727531,-17.613396,16.538338,-0.91902924,12.808334,0.7405853,22.026016,10.325676,6.9014206,-3.9427109,11.763279,-25.997017,-1.8916245,24.070477,13.696873,15.791031,4.8516083,12.910622,-22.799423,-19.556389,8.574078,-5.323345,-17.046844,-6.1117554,21.766205,-41.116825,-6.2668533,-20.587593,-2.36734,27.438358,13.11742,40.10223
6.9726295,-6.2074738,25.515015,50.0,3.2691612,-16.957573,14.755714,1.7869568,16.562222,17.068233,21.540737,-30.37302,8.270714,7.3161774,-6.268959,-21.98037,25.415165,22.74588,11.157291,33.195812,1.4274521,-0.9609604,-17.463982,-50.0,7.4290504,8.712788,-13.116089,-12.445517,0.86027336,-44.728123,-4.2780495,-19.459778,20.617767,17.48183,11.875103,27.435406
4.501808,-6.449497,30.514992,44.553925,-5.0375595,-11.664516,37.860397,1.0741577,29.46885,14.998688,29.973713,2.5693855,50.0,-10.6657295,21.42709,-0.81959534,21.704388,39.36052,9.91217,29.856598,19.99118,13.457481,-13.6803055,-33.335262,7.1270485,4.0349617,-20.490463,-17.746792,3.4800339,-35.754856,-16.176472,-20.814116,-4.0602875,10.588345,28.576168,28.098186
