A,B,C,D,E
49.463634,6.15709,14.09609,19.044537,22.851147
60.47727,7.463135,18.852207,17.23904,20.449106
-36.136482,22.34458,15.748919,18.474113,21.668943
10.812384,11.475114,16.914484,19.859999,32.5176
72.73266,11.287738,11.356657,47.89762,55.558372
86.13022,14.809345,17.163536,27.6868,69.24653
109.19391,25.91058,28.20336,43.125923,56.026463
129.92068,23.309048,33.677628,67.61094,59.50068
149.21776,29.005436,20.870914,50.671387,74.64565
135.50652,14.460359,39.19045,58.19951,40.066307
156.78375,30.001528,30.878508,149.96992,65.07308
144.11818,17.191944,21.126259,60.60918,49.776997
113.178734,8.05086,27.540924,30.055387,36.813282
90.47042,19.356937,33.595695,81.722,41.50396
225.38242,12.0358925,14.609952,98.55788,33.443066
99.42166,13.036085,24.477837,107.64202,38.382156
124.9718,11.199631,30.564316,96.45179,41.644672
233.1136,27.874271,24.097668,164.78003,24.558487
126.22766,5.852991,17.711107,75.514565,21.787634
43.4534,-9.868331,7.4078727,47.44868,27.215965
37.468746,14.948706,5.514501,23.481503,16.106108
79.324425,13.880632,13.08773,9.816176,15.76753
51.32734,12.302176,14.648115,-1.0982337,17.192549
37.15306,8.11679,12.840309,8.6660595,12.325452
51.29509,14.764586,11.974834,-13.528509,10.194982
49.19564,11.486188,7.041615,11.547705,7.2379246
-10.407803,36.462685,24.23458,-3.5432873,42.934795
15.6867485,7.349078,15.65507,22.14926,33.28029
56.9496,24.927452,15.849493,22.351284,53.6059
104.413414,15.870907,13.44553,24.975231,22.164764
79.45765,15.392941,23.842419,58.425552,24.705292
195.40213,22.073505,16.90499,49.05372,5.7597375
126.39122,19.756594,17.686646,65.71472,30.048992
97.9907,4.621465,12.560083,55.428963,22.452826
41.88535,7.550604,10.53399,49.633797,5.908003
54.811485,-4.963303,11.426825,72.59037,18.919785
68.15853,-6.402014,3.3798614,34.54908,28.961117
103.22301,9.916988,-3.0461998,75.318146,27.524343
71.805984,1.8992852,1.7146161,31.371822,36.80678
64.18194,1.1367583,13.81471,54.43743,29.378633
100.19937,20.07812,19.196737,46.513638,31.240095
17.987919,12.793265,22.322485,29.161774,29.5018
83.53978,13.904387,24.933634,29.001753,27.74261
133.49146,23.184937,17.71767,40.5981,28.830273
115.13814,12.397449,11.8771,30.983776,34.531357
230.38647,11.539297,16.563555,22.27092,35.929585
128.08348,13.669157,21.66602,27.064346,11.945593
116.86499,12.7876835,23.838043,14.153984,13.435071
52.49798,8.640908,23.096437,14.465086,19.090542
67.67638,20.706059,18.41337,17.077925,25.29365
52.167458,8.376605,11.819314,27.253523,51.45781
60.818764,17.372456,22.864262,36.255135,23.592335
103.77594,13.491563,22.548798,100.90483,18.507607
131.78595,11.840497,20.545563,77.72177,14.099868
81.308586,20.107512,9.445703,44.149475,20.22888
66.6216,3.6559954,8.2260275,13.831215,26.48833
104.1476,8.061143,4.420644,23.225557,14.996691
62.028446,1.5621943,5.0256114,58.463844,27.094711
31.773237,0.13992159,3.3572805,21.92399,37.004738
73.00687,4.1112328,13.983461,18.70174,39.307106
61.881954,14.516718,10.4082365,16.083673,13.3338175
59.347897,6.67249,14.366844,18.693737,8.361401
64.52212,10.955077,21.536072,18.751715,40.558487
148.99217,13.062784,11.1040325,16.17877,46.343285
102.06508,13.219533,3.7483845,9.940935,21.78013
105.67579,32.763084,12.518554,-4.587467,35.80953
109.31009,-7.476098,8.106279,75.149124,29.502308
86.96156,-5.2358627,6.9733453,39.803066,6.1278257
52.768772,0.024358034,-0.291924,-2.7080612,5.263327
41.029007,1.7698638,6.4602985,33.59173,17.2849
32.771515,19.504154,7.21208,20.821705,12.916586
61.679066,-3.6478252,26.129799,31.020912,8.254526
110.10606,-1.1371808,37.684998,52.490093,21.300854
174.5309,20.415918,37.40412,60.40121,34.36889
182.68596,25.69838,23.652643,72.99612,34.219627
130.1739,5.562793,15.880198,80.29213,27.643206
68.85531,8.335183,6.756328,71.13843,37.96422
65.13961,-3.0023446,14.410585,52.180996,11.125176
93.04466,11.458955,7.75527,33.305862,12.883946
95.86519,8.440402,3.1744556,24.899572,11.600259
60.94217,-18.356722,2.3633156,22.199389,21.399208
71.92605,7.002967,11.721874,11.728999,35.2161
21.799858,11.0830555,15.004301,18.11493,52.402905
63.964478,12.995799,8.221518,9.767884,36.89578
94.696045,7.765329,6.837457,-12.791669,46.53892
74.42396,8.390698,13.704195,12.863378,46.455765
66.50899,20.488358,10.933226,6.9609194,33.549366
54.505238,-7.3811984,4.707806,15.930714,20.20178
51.110157,6.6854486,16.480663,7.840627,11.9338455
83.35596,13.163864,16.866747,54.445793,35.86798
163.70969,23.847027,23.31241,89.277115,29.163029
115.190895,13.6946125,18.502607,121.64459,57.768055
117.55997,2.937756,23.680183,38.053024,42.08379
101.35047,18.631489,8.550401,24.910805,29.64086
26.186085,11.694838,14.316404,27.018145,19.28024
50.7169,10.431468,21.702213,36.14914,25.324644
102.1005,32.075485,6.0573454,21.718204,21.247658
67.874626,19.584324,19.528439,38.148872,15.145792
85.84882,9.428268,14.626542,55.402115,22.558123
48.613106,12.211489,8.661789,45.98031,34.922478
162.40268,13.859121,18.139587,20.646406,60.50614
