A,B,C,D,E,F,G,H,I,J
0.14775375,0.53805226,0.47265896,0.4297278,0.3765508,0.4882454,0.5648643,0.2879577,0.45644245,0.4651244
0.42788607,0.23768452,0.50709677,0.42709568,0.45418158,0.34031913,0.35824555,0.48474905,0.5519071,0.4169631
0.39439544,0.3359974,0.44102675,0.43165305,0.2105135,0.3798351,0.5463662,0.37743077,0.44883993,0.34076384
0.39664358,0.28736246,0.3921438,0.15878704,0.15304649,0.5793239,0.40896696,0.4399678,0.21173157,0.66822886
0.48581913,0.276864,0.31312338,0.51163244,0.29186153,0.38570234,0.31649908,0.59677446,0.44289362,0.3291421
0.498583,0.25677148,0.46432093,0.4251194,0.32828534,0.40549162,0.3540272,0.32026455,0.3747631,0.1404489
0.42060754,0.32643232,0.36567923,0.40641785,0.44863278,0.5106552,0.303411,0.49413583,0.12716109,0.4369207
0.50885624,0.32302272,0.2519555,0.45251927,0.21376675,0.40220037,0.47917485,0.6129906,0.37667903,0.49390504
0.4918409,0.4282475,0.46720228,0.33208802,0.322733,0.5073539,0.3485325,0.6575591,0.83398247,0.5106214
0.5429339,0.40218818,0.6902184,0.44278517,0.6413127,0.5864646,0.3714965,0.64495826,0.4886797,0.21138543
0.4644768,0.45138338,0.5662558,0.49285963,0.45019796,0.8030437,0.61671865,0.577443,0.4208342,0.7242277
0.6973425,0.6044915,0.67336905,0.501721,0.44784144,0.56842804,0.6855081,0.40235788,0.5582794,0.5103956
0.67903006,0.6211278,0.6236593,0.4732899,0.49849507,0.74333227,0.38316798,0.31053376,0.5182455,0.73782563
0.29619366,0.62847364,0.67154187,0.51421547,0.54389787,0.405011,0.9460836,0.7120121,0.6310536,0.6070876
0.6883669,0.63936114,0.69954,0.40309054,0.33377367,0.2605217,0.59708416,0.5308572,0.58072764,0.4828349
0.67746603,0.66354257,0.32735425,0.3586686,0.39250207,0.45502725,0.50210357,0.2555399,0.5178628,0.6707013
0.50885624,0.58692074,0.29936394,0.31597975,0.5210534,0.31472507,0.34272218,0.40464208,0.32220316,0.7266785
0.50182533,0.5471421,0.47801608,0.3928003,0.21667778,0.26569036,0.41063157,0.35143888,0.5696811,0.49885044
0.6082076,0.44673145,0.6868298,0.29591194,0.2976899,0.592003,0.27848414,0.3133797,0.38499063,0.47845262
0.8004315,0.5405687,0.44814664,0.53246653,0.20774528,0.66066265,0.45368934,0.44635904,0.24926403,0.3968631
0.5222838,0.63252234,0.6165692,0.4766426,0.56234145,0.58961767,0.51955485,0.30052608,0.23285091,0.59415156
0.43897158,0.4699221,0.36638725,0.48394594,0.11241311,0.5278843,0.60523534,0.66707456,0.28993094,0.6069457
0.42716846,0.6150078,0.49323615,0.34278587,0.32125178,0.4122951,0.18948625,0.55242485,0.31850612,0.435657
0.5893333,0.38921985,0.27114406,0.34603262,0.21553299,0.42672044,0.3938744,0.23413989,0.31741953,0.34475544
0.44885045,0.5914956,0.3308729,0.25335267,0.27747846,0.44996652,0.25175476,0.1593135,0.15413162,0.4643549
0.343373,0.4043342,0.6057425,0.19509345,0.41438997,0.40902865,0.32198337,0.31053376,0.30024597,0.34834984
0.64812875,0.4331513,0.37387598,0.3257268,0.09578444,0.4355952,0.5401142,0.2447515,0.22537324,0.5479693
0.3146479,0.4847375,0.578341,0.22344092,0.55231655,0.26044774,0.18589619,0.40308914,0.4517711,0.6056611
0.532344,0.3289741,0.5339438,0.3003386,0.21800175,0.37197778,0.4862891,0.67056906,0.4013027,0.37414166
0.45973212,0.5066675,0.35486975,0.43822646,0.47122398,0.39285794,0.53945,0.79953235,0.20231527,0.62017304
0.34806994,0.5875106,0.46512604,0.40172592,0.31746083,0.12909141,0.42900994,0.60848075,0.45968783,0.4338583
0.4070805,0.53640616,0.24718872,0.20909807,0.30409822,0.20786572,0.47051352,0.6519323,0.5714887,0.18262371
0.25384402,0.43967828,0.31584185,0.24441336,0.4873314,0.20481312,0.32586235,0.4645972,0.68960285,0.41005385
0.5782855,0.29410177,0.7034979,0.3412371,0.26353273,0.15118559,0.23154098,0.5950722,0.5188091,0.22386648
0.53579277,0.54371613,0.26893085,0.4705359,0.30652773,0.5601752,0.43102095,0.42881894,0.44746217,0.74298674
0.36588287,0.5162272,0.4395179,0.3502129,0.6442926,0.35698253,0.45620126,0.5076304,0.6295035,0.4718703
