A,B,C,D,E
0.8673704,-0.7163628,1.0190934,-0.19669397,0.7219519
0.8274093,2.0972557,-1.5312331,0.9623933,-1.9359524
1.0500302,-1.9516866,0.064985245,1.4185016,-5.1679964
-0.98997223,-2.6205912,0.18244024,0.4720497,-1.2493505
2.0819263,-0.5728887,-0.027160678,0.23365863,0.11197811
-2.6749668,-0.16316567,0.49563646,2.6282964,-0.055771917
0.24431765,-0.37602484,0.5536003,3.2426124,1.4492526
2.05403,1.6878208,0.45866328,3.561408,0.009446561
2.8429286,2.287087,-0.43735504,2.749659,-1.1256852
2.1729167,0.76298565,-1.2501566,0.6184373,0.7539501
2.6621985,0.611259,0.11665398,1.8636798,0.7560762
2.6040943,-0.53742224,-0.43000433,1.1504964,-4.533911
2.0590706,1.6712649,4.9294124,2.421228,1.9321828
-0.5852338,1.1389366,2.693427,-0.06821728,2.677409
1.1324,1.4676003,5.2214622,-2.5980458,-1.097131
-0.45784718,0.12316823,1.4232396,-0.48292106,-0.7359932
-0.3352689,1.9625868,6.1380773,1.1210319,5.808107
2.458309,0.23024362,0.33384,1.0278552,1.8011564
2.5306406,-0.40163556,-4.4661574,1.8715403,1.7222424
1.2249712,2.3060002,-1.988343,-1.4010551,0.89399976
2.1267774,-0.86217964,-3.9362392,-1.0424777,1.597329
1.8078502,0.04194203,-1.487212,0.14513227,-1.3951412
2.4806824,-2.5583534,-0.21708062,2.5871117,1.2787155
-0.22218204,-1.7453251,-1.2719078,4.3718753,7.1105824
4.003257,3.1614876,-1.044202,2.8960414,-0.3487773
4.8791494,1.4358077,1.336644,3.7917998,5.8310676
3.6307282,3.605951,0.08611554,0.9320987,-0.14568734
3.0156944,-0.021810055,0.483618,4.7887497,-0.1503968
-0.7918401,-0.7710341,-1.7419547,1.6025432,-0.95389706
1.8331902,0.077878535,0.24109459,5.1006556,1.4601676
-4.600948,0.09637958,0.18230855,4.4630632,0.80463356
-2.9439182,-4.676816,-0.90461373,5.534893,-0.35221785
-4.8447595,-2.0069244,0.05729294,-0.020501137,4.011791
-1.3598499,-0.6419295,-0.40335184,0.19122025,-1.3853407
1.5686977,-2.0503023,4.8954277,-2.7517116,0.6855725
-0.9705597,-1.6394356,4.9940434,-4.405529,0.46245265
3.6852155,1.8024031,1.6256614,-5.5709314,-5.3422666
3.7127194,3.517071,5.858836,-3.7073572,-0.5197396
-1.7010702,1.0522211,1.6289308,0.3590405,-2.2391667
1.2471085,1.8564105,1.1603445,-0.45826024,0.44685107
-0.5281437,-0.15686238,2.3647783,-0.81446123,0.23153314
1.1566619,3.974553,2.8148124,-1.2108408,-5.1948695
0.10092962,-2.5780766,5.758627,-0.5584577,-2.5886788
2.0129116,-1.9178607,1.3506658,-0.7053602,-2.9893236
0.8158503,3.4612315,1.2637283,-3.4535184,0.27716088
-6.2904553,-0.67502177,-0.2699458,-4.4473286,0.30229175
-3.5589132,-6.2315097,-1.4910464,-5.5302973,-2.0126994
1.7791191,-1.8160812,0.07877135,-3.7674513,2.3047113
-0.45386934,-3.270372,-1.0992684,-1.3532523,-0.07382366
-0.84496063,-1.4563707,0.099119425,0.08875525,-0.9125062
-1.9831264,0.37984312,2.819955,1.6172594,-5.386099
-0.16614735,1.264705,1.5688266,1.9785075,-1.2607372
-4.605134,-1.6903725,-4.0995035,-3.0771627,-0.5216698
-6.4915886,-3.379711,-0.5604155,-4.0717564,-2.6159792
-0.23183823,0.33555996,-1.8061545,-1.9956303,-1.8730016
0.73825186,-1.5991389,1.4235152,-3.5238757,-2.6790855
1.8709543,0.4087549,0.15998946,0.4444003,-2.7959533
1.5403459,-1.9571968,2.124293,0.44484878,-2.1261888
-1.1501441,-2.455866,0.020516038,-0.23859866,-1.9194331
0.9971416,-2.593718,0.5293546,0.08975623,-0.50680524
-1.2134562,-5.1369247,-2.9422822,1.617725,-0.9747391
0.21280235,-2.0281472,0.01272428,1.5615283,0.6615441
-0.48801824,-0.77458256,-0.5302143,0.12519121,1.2704815
0.49165213,-2.7051618,-3.4978423,-0.5923141,-1.1575351
-2.0903819,2.6802185,-3.2927094,2.0850384,-5.1852584
