A,B,C,D,E,F,G,H,I,J
-5.714013,0.04243648,-2.4845293,-1.4940307,-1.352238,1.537683,1.525125,3.0805647,-3.4360232,1.4306184
-1.8567562,2.6139545,-4.6337614,0.53825116,-1.9878709,0.0055918097,-0.80266595,-0.09870288,-2.6342297,3.3496292
-0.46582782,1.6243714,-0.4881879,-6.1585107,-0.22846913,-0.17597023,1.7781464,2.607078,0.10303414,0.3830157
4.681384,-4.265369,-1.0133008,-3.01621,-0.8968453,1.8093194,0.31733567,3.1082857,0.47706577,2.0907893
1.148524,-0.43077058,2.7284343,-1.4661019,-0.9450189,0.9782669,0.32937363,-0.6803068,0.98030996,2.667645
-2.5136516,2.9728107,0.42466372,-0.17985544,0.08995938,1.6112998,-2.0440598,0.2163931,-0.17813697,0.44603616
0.4231106,1.7866921,2.4367096,-0.089783594,2.8083484,2.8355546,-1.4835187,-3.0743845,4.2429943,0.78768605
-4.3048015,3.0675435,3.5643854,3.4629009,-1.2211473,-0.016774416,-1.4751477,1.0405447,0.30262804,1.5331602
-1.6300454,1.3613788,2.9232953,0.31858277,-0.23309001,0.31079477,-2.2374058,1.8349578,0.20271572,-0.51762635
-0.36320463,-0.11427906,0.09967387,-0.48499197,-2.4620423,1.504157,-0.7167969,0.984126,-0.45929065,0.99337965
0.53638613,3.291407,0.017789338,-0.22333385,-1.6602263,0.7416945,-0.4431966,-0.013561159,0.6654163,2.3435183
-1.2214569,-1.3404331,0.51825583,1.607873,-2.2469277,-0.19339392,1.4147161,-0.53355485,-1.5436997,0.65425825
0.7142967,5.203619,3.139162,-0.8351089,-2.8725777,4.4637794,1.7598007,-0.052447505,-2.5483866,-1.8441631
3.4919236,0.11746681,2.9244552,0.5834605,-1.2562233,0.92234945,4.578885,3.9075453,0.62044394,-1.0277283
-0.66574657,-0.5500556,0.3878398,3.690531,1.0913944,-1.2081225,4.1500206,-1.8545234,1.0841916,-0.809433
1.716558,0.9214172,1.5915877,1.797822,0.6637422,-1.063346,-2.1864648,-2.4775877,-1.7448143,-0.71671087
0.5854023,1.340254,1.3234078,1.1389534,-1.1101599,2.8337896,-2.6627822,2.7129474,-0.27812862,-2.1627088
-1.4372343,1.5571275,0.5970783,0.090669215,-0.9606734,-0.97496593,-1.0204115,-4.034222,1.4699472,-0.46477377
-2.0970805,0.65326744,2.3866308,-2.7193508,0.77052844,-0.013907462,-3.6991038,2.4448051,1.7754707,-2.3718557
2.500927,-0.29537186,1.4862236,-0.75011146,0.6991146,-1.9758068,-2.0511765,0.3724649,1.2325723,0.6552216
1.9062474,1.2357014,1.7009583,2.2200606,0.554906,1.8284674,-1.5306442,4.2300954,3.8903775,0.94928634
2.6823292,3.614724,2.391767,1.1073915,1.014859,0.23612344,2.2851367,0.28768575,0.35998583,4.2730837
2.66571,1.1824431,-1.5429332,-0.025323153,4.6385655,-3.147485,2.7382934,0.63966084,3.1439776,5.0172033
-1.3834785,1.3327473,-1.4245605,0.9474022,3.3578753,0.58914244,0.09779602,-1.891988,-0.88520265,1.8721257
-0.8066431,-0.6506629,-1.9458783,5.615772,4.2555976,-3.0679317,-0.6183896,-1.7787272,-1.849696,-1.219285
0.7642143,2.9790053,-1.7856286,5.538125,1.6825505,-1.6099377,-4.1676245,2.68367,-2.6406977,2.8378973
0.64936966,1.048641,0.54791474,5.555785,0.36841214,3.406474,-2.1622462,-0.085033655,0.15319335,1.6974266
2.444351,1.1489546,0.33855963,1.5872031,-1.6106372,0.5799605,-1.1303086,0.74808127,-3.2843573,-1.7426693
1.1245953,-4.335817,0.99114287,1.9618065,0.64694315,0.9677286,3.089382,1.3632689,-0.56252116,-2.1676526
-1.007115,-0.6821392,2.5938504,0.5265397,-0.026800424,-1.4073433,2.2051349,0.5336689,-0.5127305,0.9977408
-2.553751,-0.46973974,-0.23091483,-2.666264,0.51580393,-1.6639881,1.3456161,-0.90036976,-1.4016609,0.50525415
-5.5724473,-3.2949138,0.38328788,-0.69159436,6.1397834,-0.27092314,-1.2912486,-0.54351956,-2.457591,-0.76058114
-0.2507664,-4.595253,-1.6901151,-1.8315924,1.0896605,1.1594813,0.7933753,2.248202,-1.6586729,-0.18962929
-0.12733537,-1.9225273,1.5617856,-0.93049777,-0.9819346,-0.99234414,0.17731571,1.2605848,-1.5081251,-5.704583
0.57040834,2.3088374,-1.7530577,-1.35254,-1.6519142,5.397664,-0.7069187,-2.1922407,1.3943844,-0.36564374
-0.23009951,2.7067833,0.30189043,1.0151429,1.4228296,-2.0436702,1.602041,-3.3230486,-3.8186913,2.8820465
-0.034733497,0.7879746,-0.22118115,1.0713308,0.2582205,-6.5959163,1.4325149,-0.03158009,-2.111166,2.6395972
0.43691033,-0.22422445,0.48866484,0.86300385,-0.7229769,2.0320773,-3.090747,0.3936969,-4.209775,-0.35154375
1.7305596,-2.4136777,-2.659328,1.3056434,3.437732,-4.827232,0.42879564,2.7678518,-1.3718059,-2.4415672
-1.3062047,-2.7215464,-2.692132,0.948711,-1.5192754,-2.6974907,-0.9980763,1.8900917,-3.8570538,-0.5305173
-5.405097,-0.19889408,-2.8550463,0.29161254,-1.9954861,-1.2246182,-3.8151689,5.2761774,-3.4610817,-1.7719076
3.1603715,-3.6175199,1.631889,-0.22140299,1.499591,-5.9673796,0.60741127,-0.26304555,-1.8648605,-5.6508164
1.459426,0.4287299,2.4413366,-0.3198963,3.5939102,-2.4285083,-1.0198557,-2.3774962,0.56127644,-2.3796384
5.4594297,-4.5877647,3.035643,1.107568,3.0504372,-1.2542157,0.3459683,-0.48314893,0.64338344,-3.2713923
6.4779596,-4.149524,4.4543214,-0.44583297,2.0875182,-0.86543447,-2.3147132,3.8668926,-1.9249674,-3.51488
3.1354742,0.37443745,0.94718194,0.63330287,1.4124306,1.9684663,-0.85676306,5.943721,-1.4108005,0.6556363
-0.21573633,0.31112167,-0.4791935,5.5474205,-1.9301267,0.51682186,-0.76091933,-2.4766436,-0.96190345,0.5078311
2.9766455,0.035249226,-0.892607,5.480983,2.944909,-0.49512222,-0.0688498,1.2424839,-1.1766375,-1.2658176
-0.07269013,-0.8389228,1.8787591,2.327281,3.3151875,0.3351664,-1.4848204,1.3594489,2.4487786,2.3987765
-1.3825964,-0.5631943,2.351005,0.97101665,0.1803689,1.5126892,-1.6854029,0.09498024,1.8612411,0.3443207
3.238177,-2.0631137,2.8042006,0.71793574,2.6614366,1.3159215,0.48642775,3.1838949,4.8130255,-0.8716762
3.9284189,0.07800025,1.0250934,1.07585,0.636515,2.4619925,0.8793379,2.739427,-0.20308185,0.09262833
-0.9888811,0.24799392,0.27247953,2.6058378,2.2172022,1.7255728,-0.022412062,2.4764898,-2.3065724,-0.4096215
-2.1628003,0.89989096,2.0413618,0.48928064,2.0566525,3.281003,4.3461747,1.2166865,-1.1318375,-0.43358514
-1.5131866,1.1464243,-0.97897124,1.0762534,-0.6275897,0.566976,1.6265924,0.80788505,3.0684931,-2.2492867
-2.8940365,0.2769307,-0.9241405,0.513094,0.5172701,-3.842019,-0.020842016,-4.222147,-0.9160522,-1.6738868
-3.5298615,2.279723,-0.5471066,2.7801723,0.05036071,-3.1976604,1.6728914,0.22891498,-2.8226619,-1.3858604
0.7066118,0.10022801,-1.0786185,3.4251318,-1.2830441,-0.33728892,0.65883374,0.1069406,-3.1238399,1.3454368
-0.50696504,-1.5905787,2.7112095,4.8221197,1.4651809,2.220677,0.89179754,-1.4309666,-1.5720804,2.5200095
4.386616,-2.3955545,1.6515336,3.3441148,1.6154261,1.6805081,0.07403612,0.08215541,-1.8724577,1.5064037
0.06922412,2.3959928,0.061894894,1.3041952,0.47668207,0.33860517,1.6974969,-1.2047565,-1.3073902,-1.4473001
2.4781468,-1.954347,-2.7551417,3.530409,-0.4279708,1.0575559,-0.3203789,-2.4284751,-1.992735,-1.8406059
1.9415128,-4.103042,1.0882373,1.3976226,2.555845,0.57360953,-1.6441153,1.824712,-1.8196489,-3.9707391
0.35993883,-0.9033943,1.4163666,1.971803,2.653147,1.7349402,-1.0725054,3.269931,-1.5314603,-1.8205445
-2.8524666,-1.7618269,2.6222625,2.3117192,0.61864835,0.5338604,1.933073,-1.083529,-0.24835762,-0.2842025
-3.2727644,-2.8731995,3.340971,-0.14928627,-1.0554131,-0.8225825,0.6814944,0.28338552,2.4210427,1.5584751
-5.8938723,-1.398406,2.9408588,-1.2968955,2.332824,-4.3284945,1.0216007,4.929403,-0.60959,-5.092758
-3.2149749,-0.25691324,-0.03721744,-1.6897174,0.1014815,-1.1720538,0.0322662,-3.1667747,0.9326046,-1.2491851
0.7151041,-1.4233358,-1.7146728,-0.23170614,-3.0589309,-3.684515,0.023906529,-4.8972106,-0.06921145,-2.6957266
1.9618256,-2.6795456,0.08922458,-1.7521261,-1.5902815,-1.8226655,-0.13522059,-3.4569516,4.287511,-3.1544716
5.576565,-0.9588966,-0.6391043,-2.2842407,-1.9236146,1.6685746,0.13904327,-2.0555117,1.587897,-0.53332716
2.2067645,-1.9648541,-1.08569,0.0047478676,-1.6099339,2.8556373,1.4815114,-1.7864859,-3.3053946,-1.648476
3.0195746,-1.7550215,-1.0004336,-0.20428227,1.0561222,0.36729068,-0.6246999,2.302887,-2.181121,-3.9640522
-0.47680175,-1.3043077,0.7539618,-1.8251295,1.2423792,2.8054774,-0.18393606,2.0989153,-2.4679165,-1.266642
2.7302098,-0.6710576,-0.22790195,-2.562726,1.5230149,0.5781683,1.9275869,-0.7276825,-0.88110054,-1.7713485
-0.2569065,-1.9871899,3.163005,4.183419,-2.8070784,-0.2773492,1.3417335,0.48672915,-0.14336668,1.5424132
