A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
0.39234996,-1.4376652,-2.1781096,-0.7969057,-0.53953725,-0.5188045,0.9551288,0.5333019,0.63148093,-2.452005,1.2269167,0.58288145,-0.292064,-1.7611961,-0.48566163,3.514283,0.34195656,1.0667174,-0.36475337,-1.1814657,-1.1043601,0.8519397,0.06808232,1.0847908,-0.6046564
1.5362811,0.21411577,-0.6674122,-0.70726824,-1.0012472,0.18915114,1.0830982,-0.19711941,-0.3208743,1.0211396,0.68406117,0.30842018,-0.2589052,2.417606,-1.5143758,-0.70368373,-0.5554449,-0.04902625,-1.190359,1.3545187,-0.52215195,-1.4150505,1.2347163,-0.39991328,-0.4159063
-2.4495695,-1.6763052,-1.1010251,-0.8705336,0.59914494,-0.06305075,-0.8781061,0.22341835,-0.21509014,0.1772629,-0.04972984,-1.7387986,0.7679658,0.737238,-0.27048224,-2.1162956,0.3828442,-1.1884102,-0.5050411,-0.2764318,0.40170586,0.84106916,1.6312187,-0.97865653,1.3252503
1.9752941,0.7379873,1.0893669,-0.2508046,-0.077419996,-0.06713387,-0.023838267,-0.01347398,1.1857368,0.031948864,0.5807937,0.21708839,0.5653277,-0.11221889,-1.1666257,-0.47568923,0.8280132,-2.6774065,1.446974,0.38288793,0.071728826,-1.6190408,0.38098294,-0.4516444,1.1669486
0.3592621,0.29029804,-1.5474303,0.4720379,-1.3628479,0.4219678,0.43169433,-0.735571,1.1968896,-0.4842219,1.3465741,2.174588,-0.54765284,-0.68987197,-0.43242767,-1.0439577,-0.9796194,-1.1281675,-0.114427924,1.026314,-1.0316136,1.5330682,-1.5044541,-0.06939861,-0.63892794
0.31645295,0.11035414,0.8422202,0.21142378,1.1244248,-0.40042123,-3.6741042,-0.77365327,-1.9216741,-0.3356737,0.12273878,1.5720322,-1.6030457,0.03248003,0.09283596,-0.15284376,-0.4607746,-0.11151777,-0.10048759,1.1294631,0.9664402,-0.03317988,-0.63618016,0.71988946,0.40261552
0.4100275,-0.48558187,-0.13962251,0.09302944,-0.07961011,0.7330022,0.16664037,1.5738938,-0.45758164,-2.286092,-0.035063416,-0.49857223,-0.7464297,0.6128111,-0.3840443,-0.5381796,-0.5372337,0.9812577,0.6022914,-0.086627126,0.6432791,-1.365745,-0.31629527,0.56362814,-1.8202958
0.80597746,-0.73874485,-0.76958215,0.74193877,-1.0504545,0.601537,0.70193845,0.77938527,0.2779386,1.6782428,-0.54922354,0.14545469,-1.2739832,-0.83399904,1.3424875,0.4073553,-1.511359,0.40965688,-1.988317,0.5160366,1.3141261,1.1236719,0.85311866,-0.93410456,2.321407
-0.1414456,0.9973115,-0.13412139,-0.56171745,0.37769657,0.7661022,0.45719934,-0.33636266,-0.7351669,-1.2898053,-0.2159229,-0.52517986,0.3796757,-0.96643794,-0.40435004,0.2821572,0.15456736,-0.18500954,0.443034,-0.25153533,1.8728399,-1.1716951,-2.068465,0.70297223,0.9137914
-0.5273295,-0.7832805,-1.3330241,0.44971418,-0.921719,0.12601152,1.6401349,0.9931429,0.05327056,-1.0168102,1.7612596,0.8299748,-0.88842726,-0.58724403,2.0163064,0.873617,1.1810474,0.53713745,0.10779297,0.7021273,2.038784,0.5843569,0.34107223,-1.0330647,0.58341694
