A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
-1.4549564,-0.5421488,0.062459685,0.45054457,1.0904392,-0.6414802,1.498942,-0.57966727,-0.11478326,1.5360874,2.6551957,0.23781076,-2.102245,-1.5768852,0.06827891,0.87038624,-0.91334534,-0.8451484,0.57443607,0.22986689,0.8042238,0.117522776,0.5949673,0.7882785,-0.53847945
-0.69366324,-0.4973055,1.4807495,0.6788949,-0.5098567,0.82453865,0.20764038,-0.94800663,1.3761607,-1.1170864,0.03679216,-0.4824581,-0.0049830526,1.1124979,0.17073154,-1.2249079,2.0734744,-0.778002,-0.18188435,0.52852696,-0.7112882,-3.1058493,1.0282273,1.1666062,-0.9886528
0.40597105,-0.21652456,0.44022053,0.12674779,-0.009187346,-0.23895633,2.2715983,-1.2034655,1.2988111,0.75254184,-1.6283957,0.4374021,0.10239357,-0.44890997,0.8314612,0.49649897,1.0922848,1.4582464,0.91469514,0.40356374,-0.851708,2.3167112,-0.31374937,1.8188373,-1.0511941
0.61965984,-1.2193539,0.56845087,0.3018047,0.45732248,0.5229492,-0.596043,-0.008105539,1.6283306,0.55448586,0.039626144,-0.8915956,0.6043161,-0.38662755,0.8718791,-3.4622524,5.363737,1.28334,0.9992084,0.012026545,0.49601427,0.1933612,0.3391231,0.55532134,0.8437667
0.39617252,1.4628584,0.07061442,0.32900643,-0.43227592,0.49511915,0.20773084,0.13816002,0.087675914,0.09885645,-0.9670981,-2.5932658,-0.43493608,0.6342381,-0.47155616,-0.42541644,0.36165243,-0.6875175,-0.41868836,0.52037317,-0.79554164,0.47544634,-0.14283954,0.19319433,-0.94224626
-3.1042616,-1.1507943,0.8101002,-0.26172,-0.6980631,-2.5380602,-0.58557916,0.8427633,-0.111075535,0.3485077,1.1976728,1.612974,0.886737,0.21593457,-0.3710708,0.78072375,-2.3640664,1.0223023,-0.14153537,1.5130585,-1.043537,2.243406,-1.0767605,0.5979913,-3.6133032
-1.475126,-2.7634993,0.35749426,0.4440336,1.100498,0.24263036,1.8244123,-1.7200892,0.53634554,0.7179823,-0.48863968,-8.490682e-05,-1.2957891,-3.2510865,0.31941396,-0.0908176,2.5467663,-0.81002545,-0.8479591,-0.135427,-0.89835435,-1.2943069,-0.020040005,1.6327157,0.8751807
-1.0578218,-0.4510109,0.38617614,0.373684,0.45756552,-1.176038,0.83849585,-0.54052055,0.9765328,0.035058692,0.4950258,-0.102077186,0.21987641,0.5700052,1.3568935,0.15093285,-0.57595885,-0.5723719,0.53268266,1.0746433,0.3139663,-0.99206895,-0.3763015,-1.1304334,0.669495
0.9190882,-0.14231509,0.55861324,0.64535785,0.06201276,-0.5458549,2.4960043,-0.017845243,0.5383229,0.035058692,0.8448606,2.1108556,1.9254183,-1.7014921,-0.48242366,0.08356949,0.056548834,1.5490544,0.55596536,-0.19234005,1.1309267,0.9054462,-0.20660919,0.9984982,0.5046686
0.062111616,-0.6716038,-0.90868473,-0.09897968,1.5040332,0.2124191,0.14130345,0.49364907,-0.680194,-0.5924837,-0.13757652,0.50399894,0.8002237,-0.1021847,-0.010776728,0.13494864,-0.32760322,0.18435365,0.31948742,0.23503545,1.1840438,-4.3050723,0.033473685,1.8548822,0.38663998
