A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
-0.5382898,-0.07244559,-0.6153779,-0.7650219,-0.49138343,-1.6215047,-0.48951578,1.2052927,0.2680434,0.27435192,0.056180045,0.8972478,0.72324085,0.39510813,-0.24602872,-0.9622345,-0.016712511,-1.5089921,0.20935479,-0.5645165,0.4966553,-0.13574429,0.6716923,0.46127647,1.644265
-1.1868474,-0.29251286,0.03722784,0.24546358,0.47430474,0.28619415,-2.3309333,-0.7090643,0.32128972,-0.6865547,-0.33912548,0.65242636,0.5702524,0.66070974,-0.044915244,0.41501892,1.3221742,0.42037147,-1.1358483,-0.56189936,0.38437474,-1.2635205,-0.99354047,0.17473477,-1.4122195
-0.15007876,0.09592003,0.2967875,-0.16716066,-0.7477462,-0.60995626,-0.018464506,0.8279731,0.46736065,0.3764766,0.91421854,-0.06302111,-0.0991657,0.16189557,-0.021773115,0.1289877,-0.8617338,0.24441457,-1.6346064,0.1389603,-0.067700215,1.5353659,1.7941945,-1.7885445,-0.96873975
-1.1941086,-1.5035548,-0.41155738,-0.5001312,-0.5411465,-0.5933926,0.5504349,-0.8491386,0.6383906,-0.44431844,0.19351763,-0.13694836,-0.25200284,-0.5614045,0.22118682,1.4203995,0.67576516,-0.23464656,0.8738897,-0.07864791,-2.1363888,-0.11417537,1.206389,-0.549913,-1.2901437
-0.88155323,0.09779905,-0.21277356,-0.1382059,-1.8394089,0.04962334,-0.23244849,0.6868608,0.2592414,0.4490879,0.2876132,0.78782666,-0.53879327,-0.17270592,0.45207697,0.45419872,-0.9118242,0.41321152,1.1173213,1.0672797,-0.71320444,-0.18857157,0.16011667,-0.2878774,-0.60636765
0.2672474,-0.20424694,0.726202,-0.015336014,0.9840237,0.55108446,0.27231562,1.0237935,0.2958379,-3.2685697e-05,1.2586508,0.07271956,-0.10018329,-0.7340875,1.9722836,0.39004266,0.5537704,1.2067462,0.9784756,-0.041392207,0.61713326,-1.4521301,0.6361392,1.2784806,0.53750575
-0.015635466,-0.27235785,0.58755374,-0.15663792,0.15654781,-0.17311446,-1.1688874,0.29865414,0.17941284,0.0960352,-0.10529935,-0.08483377,0.4364317,-0.16189647,0.38053784,0.91162384,-0.26192743,-0.27322012,-0.452061,0.6060066,0.9199296,0.6477668,1.3485334,1.1619399,0.5140028
-0.07277672,-1.1073743,-0.910558,0.5365334,-0.062076606,-0.03444934,-1.0345047,0.2032782,-0.45520645,-0.30307978,-0.35056776,0.84036916,-0.32138628,-0.56042725,-0.19874568,-0.35234013,1.3269598,0.14099991,0.87586963,-0.32353184,-0.27334732,0.42023852,0.04642132,-1.477724,0.59030557
-1.1794949,-0.599576,-0.58779454,0.06197444,-2.0409904,-0.61594784,-0.26649195,0.30350953,-0.7889601,-0.022987714,0.75107485,0.1973592,-0.3119406,0.36824116,-0.41314173,0.3352866,0.07902686,-0.3600278,-0.45999244,-1.3530104,-0.014437318,-0.07628381,0.32130238,-0.5223121,-0.71888113
-0.3979376,-0.08947021,-0.3153633,0.29238078,-0.65151316,0.23923874,0.39513576,1.0760523,-0.10439795,-0.38710278,-0.21576822,-0.34169924,-1.2462808,0.79941034,0.80639696,-0.08841285,0.42630947,-0.40397188,-1.9275987,-0.38763216,-0.44528958,0.16952479,-0.3736001,0.16509315,0.0768304
0.19763821,0.37746286,0.53236973,0.34482467,0.9662031,-0.2917502,-1.0261436,-0.74593264,0.4357292,0.26613256,-0.53758484,-0.11163131,0.50819033,-0.23951012,0.35376978,0.4104525,0.5686425,1.2573804,-0.036490068,-0.75612956,-0.65539294,0.5001163,-0.41761625,0.015875861,0.02227227
0.49194777,-0.055606052,-0.2767861,-0.18307094,-0.20157605,-0.9266536,0.13470161,-0.24256477,0.21621642,-0.20457736,-0.53618807,0.24493672,-1.437087,-0.5204541,-0.76788384,0.08514973,0.55829406,1.6889138,-0.76076365,0.90991706,1.0674716,0.101582125,1.0992289,-0.5109363,0.5632751
-0.7509904,0.42293078,-0.66285837,0.3294705,-0.10172088,-1.0151335,0.91444206,-0.8997419,0.15756436,-0.2835655,1.2465305,0.13265264,-0.16550048,1.0507361,-0.60172147,0.42484105,-0.12461005,0.7266222,-0.7772544,-0.4381623,0.6168875,-0.7867612,-0.69869983,-0.3406273,-0.13828164
