A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
-1.522491,-0.23703972,-1.7608252,-0.34647253,-0.42191744,-1.4110196,-4.6219034,-0.866498,0.3801267,-0.9730047,1.426112,-3.1251113,-2.6314576,0.16223855,0.20441318,2.4287326,-0.90752876,1.3014522,-2.9072595,-2.287865,-1.4158106,0.06543984,1.9946312,-0.7519587,-0.19711831
0.40891677,0.5151476,-0.6309197,-2.0305395,0.53396606,0.095289156,-1.8088162,-0.6662304,-0.57921904,-1.0974414,-1.1132035,-1.109739,-0.9922725,-0.026841898,-4.2386303,0.4569829,1.74528,2.3472347,0.055666864,2.1971529,-1.3945574,-2.4400902,-2.545693,0.47366247,0.49544293
1.8411186,0.29548973,-0.20027655,0.19494648,-0.11301392,-0.8777752,3.0580873,0.17476998,-0.4550729,-0.62735987,1.343436,0.7355093,0.10335316,0.108340144,2.9370759,0.86337805,-0.32670414,-0.06603068,-1.375192,1.1435763,0.57012105,-2.0782454,4.725621,1.3177058,-0.98639566
0.6876457,0.11910361,-0.1969806,1.3693419,-0.12042314,-0.155386,-1.2036581,0.42664266,-0.7573128,0.46600938,-2.5087824,-0.81468797,0.022566617,1.5934685,-0.39185083,-1.0141232,0.99786717,2.514605,3.135225,2.0553114,0.89089584,2.5346138,-0.02716896,-0.11073613,0.9905308
-0.89335847,1.5654165,0.8185788,0.9423109,0.40299028,-0.1746481,0.20883706,-0.64982873,0.73993766,0.66124165,-2.0985174,-1.0121396,-0.65103936,-1.0014822,1.5512807,0.3406385,0.395612,1.5120418,-0.008947521,-2.0415537,0.29801214,-0.5592315,-0.17297637,0.717657,0.7180782
0.66889393,0.3874635,0.39386952,-0.50236535,0.14570121,0.6166769,0.39239144,-0.9494586,-1.3942932,-0.064630374,2.2385345,-0.269922,1.1232073,0.5295343,-1.0292401,0.45832825,1.4245815,0.36115262,2.759102,2.3983583,-1.5401535,0.63628644,1.2525047,-0.45099163,-0.09093274
0.68074095,-0.72445846,-0.8847163,-0.30857718,-0.80864406,0.61832964,1.7082808,-1.0089582,-0.44602945,0.3975498,-0.25332266,0.34401417,-1.3176299,0.09775019,-1.7720796,-1.6882981,-0.10628458,1.8825016,1.4339932,0.93295395,-0.65741956,1.0801045,2.397151,0.35201272,-0.23179188
0.83566475,-0.39469928,0.20693451,1.9164076,0.50818163,-1.3245924,-0.09267318,-0.0045446455,-1.2185277,-0.17735367,-4.17949,1.8412455,-0.2568487,-0.18138668,-1.0729792,0.018929213,-0.38057077,1.1263379,2.0717087,-0.39444605,-1.1996342,2.0810945,-0.9342513,2.0638156,-0.097543
-0.458756,0.24803707,-0.87604773,0.93718874,0.40408075,-0.53968227,0.385451,-0.20809285,1.1127069,-0.2276216,1.464988,1.2821066,-0.31295136,-0.27847773,0.60725194,0.3081657,-2.2735982,-0.6025517,-0.21795961,0.77976114,1.4809718,-0.71065795,-1.2637382,-1.6670948,0.02714771
-0.45257902,1.101892,0.15119287,-0.9016984,-0.018049061,0.96324086,-0.0091692805,0.5113913,1.7313548,0.3038404,-0.2174089,0.38201964,0.74779916,1.2480502,1.1116906,0.6788532,-0.30713463,0.21203756,-0.28023943,-0.5020861,-0.16191655,2.0860791,0.4103187,0.51000094,0.56679964
-1.0004035,0.7293178,0.57511646,0.54860246,-0.11292553,1.188304,-0.01359972,0.8195462,1.0035967,-0.32221934,-1.7321802,0.18719089,0.21912625,1.5603944,1.6022143,0.7497636,0.6282978,0.11706412,-0.27061492,0.7572134,1.407736,-0.0038380623,-1.5196712,0.8761346,-0.94948035
0.0752449,-0.60113907,0.44890416,-0.28193015,0.00040376186,-0.8254591,-0.25295568,1.39221,1.101792,0.45827067,-0.69953305,0.072057486,0.6495863,0.79010105,1.7004663,-0.2310828,-0.79591537,-0.18986987,-0.005126318,-0.58072996,-0.47193044,0.29646045,0.43280965,-0.82318693,-0.45201367
-0.19619659,-0.22473058,-0.22555691,-0.059050947,0.18805818,0.94100976,-0.27957225,-0.57590896,-0.92709804,-0.09458643,-0.40475237,-0.51418483,0.41772455,0.6984636,-1.7273787,-0.43422288,0.10235092,1.2915226,-0.58459085,-1.1048139,0.7384834,-1.4389693,0.049790576,-0.78716475,-1.0466856
