A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
0.21493237,1.0341259,0.6838567,2.4092963,0.18647763,0.024974793,-1.9755923,-0.7896137,-0.07990237,0.8239288,-0.817286,0.0044869035,0.96383864,0.5694906,0.67349404,-1.4521903,-1.2388166,-4.4972377,0.13157576,0.8463814,0.8447396,4.568146,-2.376597,0.5856304,-1.5775847
6.955327,2.0129762,5.9543695,-1.0876045,5.7651777,5.4418464,6.381891,5.4109664,4.7312117,0.5234724,5.086787,5.5251894,4.691564,1.8852768,3.0340285,2.6994412,0.5207446,-2.5907223,3.8065567,-0.61229765,1.5763903,2.7457933,0.056078672,-1.5782704,1.840664
0.71915984,1.2961854,0.10389757,2.2704272,0.90136766,4.356882,1.019222,1.433245,0.40133357,0.22604823,-0.6775404,1.2932223,-0.21518397,0.4304481,0.2928414,-0.67854106,1.1795998,0.42623162,-0.7262318,4.6264987,1.0852511,0.8626611,-2.0350516,-1.266285,0.4507928
1.4023262,0.9061834,0.4610641,0.08582245,-0.26708502,-1.6536754,-0.5045195,-0.06637332,-0.007649377,-0.08096045,0.0645304,0.48930934,-1.5820918,0.62938714,0.04686948,0.94889736,-2.2389913,8.112534,-0.4600203,0.029869318,-1.892455,1.784071,1.2005509,-0.12605749,1.1119311
-0.8310443,-0.12357247,0.52130497,0.716702,-0.047354847,0.012032658,-0.059652507,0.7323631,0.12756735,0.083448365,0.41666207,0.5075614,-1.087894,-1.486897,0.4124262,1.2371621,-3.559134,-0.681992,-0.29384217,1.3368077,1.0818532,-0.34795618,0.55855656,1.2761325,1.2585711
1.3181427,-0.9562253,0.13103692,0.38674694,-0.6789858,-1.089917,-0.58842725,-0.33338532,-0.20518626,0.24179979,1.9479334,-0.07708432,0.28167787,-2.388808,0.7553208,-1.0615828,-1.2309139,1.2425619,-0.69206446,-0.114681244,1.2700688,0.5278249,1.2884437,0.62851137,1.1178257
-0.019748408,-0.15407726,0.45539126,-1.3593459,-1.0351565,-0.32763243,-0.40321305,-0.1592943,0.9158333,1.432802,-1.1435261,-0.12783058,-0.08937061,0.38836402,0.24673465,2.4887383,-1.724978,-1.0026268,0.07291695,-1.6213793,0.014334172,0.45100325,-1.6149648,-0.8104025,1.7282406
-1.2288023,-1.8405128,-0.11713721,0.7614151,0.075334184,-0.33728015,1.1305121,0.37631315,-0.31662208,-1.1212912,0.28089818,-1.2517349,0.6595467,-0.56680274,0.64484155,0.35414112,-2.47085,-0.9860239,0.013764743,1.7496797,1.2968186,-0.50515896,3.0668602,-1.7360413,-1.6549773
-0.008435115,-0.5275652,-0.21421404,0.028739557,-0.7043458,-0.24130732,1.624022,-0.21394555,0.88839597,-0.69846773,0.7762754,-0.49230927,-0.41496584,-0.6304575,-0.27966803,0.7396535,-1.2139935,0.5652482,-0.09890571,0.033442855,1.0588255,-0.62065065,-0.6740768,1.8360473,-1.5493771
-0.25363094,-1.794781,0.99423355,0.4842046,0.71003866,-0.5633147,0.25247315,0.22944632,1.2356195,0.4904337,-1.309104,-0.3733722,1.6137635,0.38044208,0.03896129,-1.4051945,-1.3402941,0.6343727,-1.0476174,0.7241012,-1.3702557,-0.5947856,-0.04989648,2.4143662,-0.53691554
0.0017042458,1.0755634,-0.16298312,-1.4678901,0.6411197,-0.07275757,0.31309712,-0.604293,-0.6211978,-0.5676715,-0.6284131,0.58807683,-0.5679364,0.17758211,-1.3936198,-1.4744728,-0.34728444,-0.7218792,-1.343849,-1.107728,-0.027750596,0.96486366,-0.24579379,-2.190269,-0.071460545
1.7202575,0.46856737,-0.2675616,0.24514693,-0.3360418,1.1905103,0.97845656,0.17296252,0.062606975,-0.5628559,-1.2875854,0.07641086,-2.4513106,0.20651063,0.28699362,-0.7739176,-0.79822457,-0.9296085,0.46370715,-0.5591214,3.1716924,1.0985423,2.4359848,-1.1178068,3.7665834
1.0258188,-0.39969626,0.33525965,-1.231199,0.3435275,-0.3769166,-0.9647114,-0.25216663,0.3352394,2.170325,0.34437028,-1.0100701,0.78408676,0.97772706,0.5570168,0.78543484,-0.94123125,-2.5531092,0.35438702,-2.7016096,-1.244127,0.7352172,-0.5665457,0.44460452,-0.65985775
-0.69572246,-0.6573111,-0.74229527,-0.34694204,-0.48947176,-0.11341308,-0.10708849,-1.1689678,-0.49681377,-0.864239,-1.6640849,-0.14039356,2.079102,-0.8209057,-1.2958707,-1.7559274,-1.5242164,1.1907724,0.8122564,-0.2796925,0.31997043,-0.2797093,-0.9185984,1.4343783,-1.6145916
-0.5485729,-1.9001102,0.034123354,-0.86996496,0.5734296,1.1696396,0.83878237,0.26664296,-0.46785253,0.7529801,-0.16384175,-0.439497,1.3235335,0.22119297,-0.4583179,-0.22914428,-0.60131055,-1.6237807,1.7986519,-1.2636423,-2.0561898,1.2522819,-0.5121606,2.4230344,0.12538838
0.08559471,2.063174,0.53866756,0.4049918,-1.3640151,3.978354,0.025214378,-0.24009575,-0.11853702,-2.0339956,0.27201578,-2.443825,1.356393,1.11172,-0.2748899,-0.3703389,-0.44280702,-4.359033,-0.11629271,1.1228933,0.9307065,0.95923376,-0.58592284,-2.0136542,1.2086731
-0.7926403,-2.2524414,1.3367485,-0.9491293,-0.14420298,1.0293527,0.8880191,0.48973757,0.28985983,1.4653847,0.8340303,-0.8850243,-1.4532044,0.8388467,2.6368513,0.22442326,1.3531711,-0.2757322,0.25826147,-0.03136182,-5.812782,1.1204029,0.44696772,-2.1327057,-1.0800201
1.2569214,-0.19217181,-1.9445251,0.24216044,0.41807416,0.7704079,0.5765201,0.4971605,0.3755497,0.4981777,3.8249145,0.37335297,0.87560385,1.7148775,2.4630675,-0.115659535,-1.3298761,0.6392969,0.7115156,0.043018013,-8.870115,-0.14991063,0.19355983,-2.8496435,0.37131172
0.36370355,1.0225942,0.42280415,0.12877253,0.20395541,0.78510606,1.1183493,0.35523772,1.8299466,-0.44436026,-6.0227823,0.62389046,-0.4298066,-0.92861944,-1.2472847,-2.3969393,-2.0983431,0.11734104,-0.49193737,-1.6398448,2.5378072,-0.29962692,0.3078447,0.99892426,-0.58611214
-0.29433557,-0.6718013,-0.3238651,-4.0733128,-0.2924307,-0.8394995,-0.869702,0.6334126,-1.3170503,0.3366,-0.091429904,0.52281165,-1.2300322,0.18838175,-1.7669325,0.47420144,-1.9499009,-5.520319,0.3512628,-3.613648,-0.84313273,-1.4741151,0.6364885,0.6222364,0.60076094
-0.6731957,-0.5179403,-0.19171783,0.3598841,0.38915932,0.49484324,-0.035640746,0.32780483,-1.3343139,-2.435688,0.80527675,-1.6668843,3.602222,-1.0378171,-1.466501,-0.96798974,-0.6201192,0.65576905,0.2090345,0.103482544,1.4283379,0.31830838,2.1045327,-0.4159801,-0.8762497
-0.081617735,1.3971238,0.26014316,-1.2728995,-1.0434654,1.8647808,-0.73820055,-0.4727106,-0.06737386,4.189685,-0.8788365,-0.10817496,0.24767469,-0.48125035,1.47182,-0.00538218,-0.048144042,1.122524,1.5226939,-1.4902081,0.6023525,1.1660464,-1.8960127,0.100681804,0.43774715
-0.07627261,-0.6329409,1.3521035,-0.6920285,0.74213153,1.3426528,-0.747278,0.52297455,-0.6165209,-1.0201147,-0.96977836,0.7506233,0.04363464,0.035204276,0.5792516,0.60417,2.6323667,-2.1605847,-0.2546634,-0.15251076,2.154539,0.3521023,1.6471169,-2.468521,-0.65420556
-1.6095827,0.20144483,0.65825987,0.82989746,-1.1437724,-5.1993856,0.052807033,-1.4275978,-1.3353953,-0.14209032,1.7581367,-1.205726,-1.1493163,0.013563678,1.2592468,-1.7405756,-0.25905287,-0.74536484,-0.42397973,0.29257157,1.3548839,-3.2692955,-2.1089664,-0.9900044,0.89261746
-2.7576177,-0.5594999,-1.6908903,-2.3573527,-1.4690781,-0.15592456,-2.4740372,-2.2345874,-2.1525927,1.0930192,0.7406961,-1.3897903,0.47712225,-1.1704638,-0.82007676,-3.3377643,0.09678078,1.3588309,-1.4616344,-5.826932,-0.8759974,0.32880023,-0.065485,-0.7531997,-0.19430918
0.83649486,1.2876643,-0.11539635,-0.9560039,0.12023088,1.7761065,0.73923343,0.29039323,1.170059,-1.5356724,0.38164538,-1.1727786,0.06350539,0.1473015,0.8086573,0.031083167,1.0662698,-4.231482,0.5843032,-3.7635775,1.6664542,2.7832422,2.3350728,-0.9867882,1.7148964
1.7555969,-0.08364695,-0.055736244,-0.21145429,2.2541764,0.38843393,0.4444934,0.68053335,1.5040249,0.11485139,-0.64165235,0.49489605,1.2975527,0.032387227,0.49527606,-0.34651995,0.33633196,-2.645889,0.16553454,-0.051152885,1.178132,1.9181403,2.0312831,-2.3945363,-0.9991361
