A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
0.0689289,0.7719251,0.055021465,1.1793022,0.45388862,2.7700028,0.43472132,0.47795802,-0.13875929,0.12595123,0.28932524,0.30879188,0.6775891,0.06962091,0.62104446,-0.33763504,-0.64861774,1.8275034,0.53874385,-1.1005912,-0.5426635,-1.2136222,-0.31077877,0.41509128,0.34068152
0.22121564,-0.44270983,-1.4528286,-0.3724445,-0.1130895,0.7820178,0.14402613,1.9571651,-0.3140086,0.8376638,-5.373821,0.0719146,1.0725775,-0.5602842,0.7418936,0.21073927,3.3532405,-0.07740133,0.27209702,-0.19104178,-1.6415727,0.051183812,-0.92447084,-1.305115,0.94144803
0.23092157,0.8133562,0.060465496,2.664579,0.018912286,-0.29392675,0.6308516,-0.51179427,-0.6377893,0.46307662,-1.9803834,0.73805046,-0.22646533,-1.0022825,-0.26341623,-0.58125347,0.9916464,-0.6387827,0.11235589,-0.110605255,0.47420612,0.8085805,0.6323814,-0.25923422,-0.016327038
0.16948594,-0.07594254,-0.92819667,-0.8210737,0.60485744,-0.15503384,-0.6859793,1.1934658,0.31458718,-0.19668455,0.68377304,0.42601982,1.9044738,0.27684742,-0.5553478,1.6596307,0.7772298,-0.8101845,0.3573586,-0.46221936,-0.26556778,0.03094312,0.9477192,-0.97685385,-0.36051372
0.3642884,-0.362826,0.5089186,-1.1725835,0.30537355,0.303185,-0.081141494,0.019233264,0.70322037,0.17389171,-1.5933931,0.25257528,-0.69750583,1.595579,-0.08961459,0.92429113,0.7384839,3.9103434,-0.25871155,0.944166,0.01802519,-0.43907905,0.18801974,-2.936907,1.719954
1.4631745,-0.38540184,1.2346811,2.9155574,0.14619526,1.4363333,0.018198729,0.6636363,-0.07036895,0.07968383,0.13468218,0.08757122,-0.8306998,-0.46934134,0.7291788,0.09722862,1.0651586,-2.0618966,-0.5116696,0.027403887,-0.8289347,0.017274322,-1.0226281,0.54731643,1.4545238
-0.6065381,-0.32811987,0.014475852,0.85610735,0.088898905,1.1644039,-0.5781667,0.9505794,0.14384319,-0.4314952,0.07250996,0.13108501,0.9968674,1.827213,0.13791889,0.34869474,0.10723716,0.7854147,-0.3996446,-0.69046843,-0.09147663,-0.5650098,-0.049437635,1.1636746,-1.5542631
-0.4503596,1.1784372,-0.8186672,-1.9031456,0.1429375,-0.7338845,1.1572578,-0.558987,0.38074693,0.7372478,-0.2348454,-1.1771888,-0.461439,0.43146172,0.069759235,-0.20240828,-0.42145255,0.096548125,0.6296629,0.93802965,-1.5818425,-1.2246349,-0.038426507,-0.8642744,0.029224722
-0.75106573,0.56369174,0.6497253,1.114445,-0.3932675,0.6362079,-0.07599317,-2.4847765,0.090491086,0.02989009,0.23711684,0.08014349,-0.9577706,0.89895785,0.030164246,-1.2448063,1.3112613,1.2762437,-0.30425692,-0.21989472,0.30546126,0.51049685,0.061173983,0.15810472,-1.151167
-1.5376295,-0.40278673,-0.23210263,-1.5221033,-0.60023504,-0.77042466,-0.073897064,0.69869304,-0.5942012,0.06827426,0.35596198,-0.5215624,-0.056844935,1.6977868,-2.2371798,-0.19586465,0.0044143796,0.16570419,0.6825214,3.8830771,0.071315765,-0.9861505,0.8328191,-0.35256556,0.8379226
-0.22573298,-0.54454625,2.8655524,0.3579597,-0.5442801,-0.80645394,1.0703831,-0.67584807,0.67550975,-0.55106467,-1.1139913,1.7154541,-0.8210963,0.3138945,0.12874353,1.3139608,-0.50272787,-1.5268092,-0.38634878,1.0737299,-1.7387867,1.8865535,-0.81362844,0.4944352,0.5315572
0.954632,0.21048479,-0.1271475,-0.16895404,0.4613227,0.75355357,0.0010239482,0.37221867,-0.36813015,0.34896883,1.0587867,1.0780971,0.7339727,-0.59371734,0.46292394,-0.5323129,0.6742522,-0.56354827,0.9669727,1.0040176,-0.10467982,-0.13880347,1.8960947,-0.7290959,-1.5810748
