A,B,C
20.78892,1010.5398,53.291893
21.042458,1010.64056,53.743847
21.564762,1010.6409,52.62214
21.604908,1010.68036,51.001488
22.052567,1010.65826,50.087914
22.614252,1010.8,50.061943
23.210815,1010.74225,48.924835
23.882395,1010.7308,48.17531
24.074316,1010.81885,46.246616
23.826786,1010.81384,45.04819
23.739294,1010.87726,44.575188
23.797943,1010.9928,43.403793
24.56409,1011.0195,42.783283
24.548624,1011.07745,40.695915
24.428509,1010.9881,40.500835
24.820662,1011.0065,40.23157
25.022795,1010.9997,39.935963
24.770208,1010.9781,39.503277
24.561808,1011.00934,39.23844
24.45542,1011.119,40.70721
24.914907,1011.02136,41.067055
24.692217,1011.0053,41.3001
24.91931,1010.9776,42.09705
25.461235,1011.11096,42.30458
25.557772,1010.9881,40.555763
24.744526,1010.9368,40.005768
24.43417,1010.96606,40.73082
24.32948,1011.00977,42.055714
24.291477,1011.0105,41.248173
24.328474,1010.9775,41.793175
24.297247,1011.0932,41.266994
24.242308,1011.041,41.58453
24.214985,1011.1197,40.46289
23.943726,1011.0064,40.917057
23.75714,1011.0195,40.354195
23.725786,1010.9958,40.965862
23.494282,1010.98816,41.045494
23.375195,1010.91907,39.713787
23.166788,1011.0396,41.12266
23.572495,1010.9063,40.015625
23.53451,1010.9251,39.96602
23.616236,1010.8803,40.98108
23.385973,1010.8789,40.93405
23.429811,1010.8886,39.529297
23.2758,1010.8886,39.297157
23.250538,1010.9888,40.6895
23.740595,1010.9667,41.004692
23.733534,1011.08813,40.73933
23.836012,1011.05566,40.06079
24.052736,1011.07544,39.51963
24.16893,1011.11865,40.55156
24.105663,1011.117,39.874294
24.155275,1011.09796,40.095352
24.76225,1011.13495,39.97784
24.687386,1011.1754,39.888668
25.01737,1011.12103,41.14743
24.716131,1011.1591,40.983658
25.124825,1011.14594,40.210716
25.464174,1011.14514,41.328724
25.093523,1011.12836,40.496326
24.859451,1011.12836,41.434505
24.659998,1011.0349,41.027122
24.771395,1011.0294,40.88769
24.723728,1011.002,41.12711
24.63621,1010.9,41.157604
24.556356,1010.8661,41.734867
24.698565,1010.9604,41.072575
24.612307,1011.0854,40.979282
24.875746,1011.0044,41.305683
24.856308,1010.9862,41.04065
24.898048,1011.01074,39.9703
24.847641,1010.9776,40.871635
25.05991,1011.002,40.005344
24.898405,1010.8966,39.396553
24.771446,1010.99207,40.745216
24.666529,1011.00134,40.44907
24.266922,1011.0926,40.77905
24.164019,1011.1216,42.45766
24.553555,1011.19116,40.211056
24.506681,1011.0902,39.929512
24.768373,1011.1241,39.766438
24.828993,1011.0349,41.197617
24.903374,1011.10455,40.520157
24.910002,1011.0106,40.591686
24.847773,1011.1105,41.281578
24.835274,1010.96265,40.552155
24.635752,1010.9278,41.13955
24.937042,1011.04333,41.166733
25.029028,1010.9799,40.236153
24.91871,1011.01227,40.996376
24.779575,1010.99774,39.814514
24.57293,1011.19635,40.966774
24.818357,1011.1683,41.27434
24.761642,1011.2083,41.66122
24.79477,1011.26404,41.0935
24.725368,1011.25543,40.61986
24.26078,1011.33466,41.03438
24.226007,1011.3431,42.357998
24.336731,1011.37537,42.143257
24.18124,1011.3747,40.67639
24.231989,1011.3507,40.306427
24.076777,1011.3756,40.444546
24.025879,1011.3324,40.40257
24.015478,1011.407,40.78611
23.963118,1011.45197,41.691326
23.753748,1011.5607,40.18041
23.866625,1011.58777,40.82478
24.254467,1011.58905,40.25513
24.386892,1011.6013,38.765694
24.467424,1011.56665,39.526363
